IND1	IND2	IND3	IND4	IND5	IND6	IND7	IND8	IND9	IND10	IND11	IND12	IND13	IND14	IND15	IND16	IND17	IND18	IND19	IND20	IND21	IND22	IND23	IND24	IND25	IND26	IND27	IND28	IND29	IND30	IND31	IND32	IND33	IND34	IND35	IND36	IND37	IND38	IND39	IND40	
1.4146116	0.6186107	0.9464026	1.3296728	0.6795276	1.2012286	0.7752515	1.3417452	0.7966332	1.5270300	0.7933172	0.8033592	1.0732440	0.9054940	0.5693908	0.6924315	1.6838774	1.1366921	1.1274917	0.8694764	1.1624703	1.3543207	0.9639470	1.0265133	0.9353124	1.0688671	1.6115240	1.2471683	1.2632252	1.8572392	0.9577828	0.7453361	1.1502369	1.0170503	1.0640267	0.7930960	0.7901563	1.0838818	1.1729801	1.6435210	
1.0160965	1.0815015	1.1887334	0.8628107	1.2280306	1.1512849	1.1547905	1.0041306	0.6540664	0.8057254	0.7377837	0.8967841	1.4553014	0.5327539	0.7726291	1.0487014	0.4350194	0.7568151	0.8427228	1.2373510	1.0217393	0.5410184	0.9122994	0.6369982	0.9137997	1.3641798	1.0770937	0.9394843	0.7870892	1.0507254	1.3934883	1.1462531	0.9153244	1.0174242	1.0129704	0.4428957	1.0409951	0.7951826	0.6298558	1.5862847	
1.4439606	1.2940161	1.2742287	0.7069891	1.4577078	1.0493684	0.9108464	1.3904045	1.1170496	1.1362757	1.0696550	1.1212883	1.4656319	1.0069037	1.3281142	0.7939637	1.0748407	1.1446291	1.4336573	1.1970519	1.1104682	1.0430777	1.2771739	1.1284605	1.2441571	1.6453222	1.4884098	1.1640210	1.4213027	1.3442270	1.3302094	1.2859251	1.3942077	1.1921241	1.0303177	1.2248864	0.9584793	1.9890300	1.0540813	1.3965706	
0.7127542	0.7806897	1.4431739	0.7523496	0.9577253	1.1526396	0.7728042	0.4932394	0.9065185	0.8030423	0.9671067	1.5368219	0.9094790	1.1625257	1.2275034	0.5782049	1.1816014	0.9296938	0.7517985	0.8781043	0.5968616	1.1654975	0.8962074	0.9882480	0.6884844	1.0546450	0.6959851	0.7390925	0.5442638	0.9164826	0.7806570	0.6843586	0.6887482	0.8138319	1.0959374	1.1323934	1.2426471	0.7344951	1.3370759	0.6036374	
1.4384714	1.6696730	0.6190481	1.2932910	1.7594532	0.7411640	1.7049238	1.5824044	0.9189200	0.6723250	1.4058394	0.7544932	1.2191700	1.6232809	0.5116818	1.2684292	1.1950266	0.5777971	0.6647924	1.6256376	1.4335233	0.4898293	1.1895167	0.5600715	1.2139882	0.6540616	1.1268611	1.6400617	1.1618143	0.9769752	1.3351574	1.1700240	0.4818018	1.2037421	1.0733724	1.3825500	0.6864251	1.0620430	1.0241502	1.2713610	
0.8619986	1.0781750	0.8617712	1.1502533	0.7598903	1.1442595	0.9843092	1.0577428	1.1171053	0.8978574	1.1387862	1.0248089	1.0839370	1.1681599	1.4895769	1.0140232	1.1809649	0.7941539	1.2472575	1.1808774	1.0339160	0.9476565	1.2994387	1.1973892	1.3138545	1.0795152	0.9384107	0.9726218	0.7974389	0.9882131	0.9074797	0.8841650	1.0220539	1.5609416	1.0532392	1.0183905	1.1344311	1.0460776	1.0182184	1.0093283	
0.8838734	1.2081807	0.5212893	0.8417000	0.7937487	0.7628394	0.8441778	0.6133176	0.8943097	0.7123426	0.6897513	0.7671073	0.9588453	1.3921262	0.8444222	1.3333955	1.1225740	0.6883198	0.8664800	0.4965568	1.0302656	0.8393491	1.1032356	0.9853737	0.5024530	0.7640905	0.8980149	0.8510019	0.6235678	0.3953770	0.6760684	1.0989457	0.8996891	0.6700289	0.3072279	0.9468190	1.0356073	0.9974884	0.9620965	0.8751586	
0.8918956	0.4604518	1.0386152	0.7918946	0.8917921	0.8575150	0.6391553	0.9109192	0.4758495	0.5810887	0.9514667	0.6766457	0.6667876	0.6438107	0.3583269	0.4947229	0.5478637	0.7427778	0.7714070	0.8141391	0.4454318	0.6883801	0.9742582	0.4586570	0.7291318	0.6445642	0.8474758	0.7555376	0.6817722	0.6310155	0.6027998	0.7964179	0.4790207	0.9994516	1.0527459	0.7117286	0.4984264	0.7829672	0.8108315	0.6226887	
1.0492256	0.8328629	0.8625546	0.8609261	1.2999651	1.0508028	0.8717333	1.0345194	1.1349354	1.0970598	0.8838242	0.9712826	0.9331628	1.1996229	1.1320341	1.0753348	1.2599238	0.9705480	0.9302969	0.8914424	1.1085986	0.8291762	0.9302279	0.6954540	1.0301339	0.9852408	0.8535745	1.0558095	0.9490695	1.1508045	1.2437662	1.1186106	0.9763607	0.7467531	1.0911077	1.2534767	0.6863912	0.8514425	1.0146697	1.2904826	
0.4370741	0.5585629	0.3605124	0.2863057	0.6781518	0.4633706	0.6597190	0.5462555	0.7883076	0.4461739	0.2596843	0.5431078	0.6858302	0.5361596	0.3155608	0.5834325	0.5935588	0.3347277	0.7818430	0.7647977	0.4830162	0.5254599	0.5618150	0.4308268	0.2598639	0.4669813	0.5787428	0.4624429	0.3368616	0.2766003	0.4829758	0.5116663	0.4619866	0.3017244	0.4095501	0.4293433	0.3216131	0.4502517	0.6086642	0.2503103	
1.0468326	1.2736332	1.2963075	1.0515359	1.2872508	1.4115584	0.6875061	1.3283819	1.9263496	0.8932727	0.7907192	1.3092367	1.4032417	1.4242953	0.9460492	1.0459058	1.8223782	0.8127704	1.5329983	1.0884654	1.2286612	1.5402141	1.0283426	1.1114100	0.9901545	1.2183985	1.0678705	0.9640628	0.8840707	1.1420185	1.0541157	1.2351338	1.1861541	1.2393038	1.0008836	1.0906397	1.5345240	1.4917261	0.8985166	0.7179797	
0.8891280	0.9549087	0.9294241	0.7628141	0.6191449	0.7217934	0.6253369	0.8038831	0.6199628	0.7789206	0.7730090	0.7325533	0.9911632	0.7146379	1.0420853	0.7243949	0.5001335	0.6572051	0.8897142	0.9395024	1.0181613	0.7703174	0.8653470	0.5335020	1.2429025	1.2954734	0.6540737	0.6403861	0.7650055	0.6577749	0.8301579	0.8716042	0.8352075	0.7882900	0.9294368	1.0247697	0.4811216	0.9011859	0.7458841	1.0660039	
0.3162849	0.4616055	0.5504818	0.4952611	0.3646329	0.3227150	0.3941728	0.3795191	0.4811200	0.7430115	0.5104711	0.5957634	0.4263446	0.3486102	0.4819531	0.5381370	0.3272554	0.4823245	0.4280004	0.4411443	0.6553743	0.2185657	0.5090700	0.8737021	0.4767137	0.8149603	0.5012753	0.5907106	0.5532289	0.5832546	1.2231701	0.2897732	0.6290046	0.5986163	0.4785401	0.6484454	0.6662538	0.6309388	0.4607419	0.8748253	
